date,market,category,commodity,unit,price,H-date
3/15/2013,National Average,pulses and nuts,Chickpeas,KG,1.8,3/15/2013
3/15/2013,National Average,pulses and nuts,Lentils,KG,1.28,3/15/2013
3/15/2013,National Average,vegetables and fruits,Apples (red),KG,1.95,3/15/2013
3/15/2013,National Average,vegetables and fruits,Bananas,KG,0.86,3/15/2013
3/15/2013,National Average,vegetables and fruits,Cucumbers,KG,0.68,3/15/2013
3/15/2013,National Average,vegetables and fruits,Garlic,KG,2.25,3/15/2013
3/15/2013,National Average,vegetables and fruits,Onions,KG,0.7,3/15/2013
3/15/2013,National Average,vegetables and fruits,Oranges (big size),KG,0.97,3/15/2013
3/15/2013,National Average,vegetables and fruits,Tomatoes,KG,0.59,3/15/2013
4/15/2013,National Average,cereals and tubers,Bread (pita),KG,0.17,4/15/2013
4/15/2013,National Average,cereals and tubers,Potatoes,KG,0.73,4/15/2013
4/15/2013,National Average,cereals and tubers,Rice (imported),KG,1.14,4/15/2013
4/15/2013,National Average,"meat, fish and eggs",Eggs,2 KG,3.58,4/15/2013
4/15/2013,National Average,"meat, fish and eggs",Meat (beef),KG,9.39,4/15/2013
4/15/2013,National Average,"meat, fish and eggs",Meat (chicken),KG,2.37,4/15/2013
4/15/2013,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.75,4/15/2013
4/15/2013,National Average,"meat, fish and eggs",Meat (lamb),KG,11.98,4/15/2013
4/15/2013,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.71,4/15/2013
4/15/2013,National Average,milk and dairy,Milk (pasteurized),L,1.17,4/15/2013
4/15/2013,National Average,miscellaneous food,Sugar,KG,0.79,4/15/2013
4/15/2013,National Average,oil and fats,Oil (olive),KG,5.07,4/15/2013
4/15/2013,National Average,oil and fats,Oil (vegetable),1.8 L,1.86,4/15/2013
4/15/2013,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.48,4/15/2013
4/15/2013,National Average,pulses and nuts,Chickpeas,KG,1.83,4/15/2013
4/15/2013,National Average,pulses and nuts,Lentils,KG,1.33,4/15/2013
4/15/2013,National Average,vegetables and fruits,Apples (red),KG,2.27,4/15/2013
4/15/2013,National Average,vegetables and fruits,Bananas,KG,0.86,4/15/2013
4/15/2013,National Average,vegetables and fruits,Cucumbers,KG,0.58,4/15/2013
4/15/2013,National Average,vegetables and fruits,Garlic,KG,2.25,4/15/2013
4/15/2013,National Average,vegetables and fruits,Onions,KG,0.65,4/15/2013
4/15/2013,National Average,vegetables and fruits,Oranges (big size),KG,1.34,4/15/2013
4/15/2013,National Average,vegetables and fruits,Tomatoes,KG,0.72,4/15/2013
5/15/2013,National Average,cereals and tubers,Bread (pita),KG,0.17,5/15/2013
5/15/2013,National Average,cereals and tubers,Potatoes,KG,0.78,5/15/2013
5/15/2013,National Average,cereals and tubers,Rice (imported),KG,1.15,5/15/2013
5/15/2013,National Average,"meat, fish and eggs",Eggs,2 KG,3.65,5/15/2013
5/15/2013,National Average,"meat, fish and eggs",Meat (beef),KG,9.26,5/15/2013
5/15/2013,National Average,"meat, fish and eggs",Meat (chicken),KG,2.37,5/15/2013
5/15/2013,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.74,5/15/2013
5/15/2013,National Average,"meat, fish and eggs",Meat (lamb),KG,12.03,5/15/2013
5/15/2013,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.54,5/15/2013
5/15/2013,National Average,milk and dairy,Milk (pasteurized),L,1.16,5/15/2013
5/15/2013,National Average,miscellaneous food,Sugar,KG,0.79,5/15/2013
5/15/2013,National Average,oil and fats,Oil (olive),KG,5.07,5/15/2013
5/15/2013,National Average,oil and fats,Oil (vegetable),1.8 L,1.86,5/15/2013
5/15/2013,National Average,pulses and nuts,"Beans (fava, dry)",KG,1.49,5/15/2013
5/15/2013,National Average,pulses and nuts,Chickpeas,KG,1.8,5/15/2013
5/15/2013,National Average,pulses and nuts,Lentils,KG,1.33,5/15/2013
5/15/2013,National Average,vegetables and fruits,Apples (red),KG,1.99,5/15/2013
5/15/2013,National Average,vegetables and fruits,Bananas,KG,0.86,5/15/2013
5/15/2013,National Average,vegetables and fruits,Cucumbers,KG,0.68,5/15/2013
5/15/2013,National Average,vegetables and fruits,Garlic,KG,2.25,5/15/2013
5/15/2013,National Average,vegetables and fruits,Onions,KG,0.7,5/15/2013
5/15/2013,National Average,vegetables and fruits,Oranges (big size),KG,0.97,5/15/2013
5/15/2013,National Average,vegetables and fruits,Tomatoes,KG,0.59,5/15/2013
6/15/2013,National Average,cereals and tubers,Bread (pita),KG,0.17,6/15/2013
6/15/2013,National Average,cereals and tubers,Potatoes,KG,0.71,6/15/2013
6/15/2013,National Average,cereals and tubers,Rice (imported),KG,1.14,6/15/2013
6/15/2013,National Average,"meat, fish and eggs",Eggs,2 KG,3.48,6/15/2013
6/15/2013,National Average,"meat, fish and eggs",Meat (beef),KG,9.43,6/15/2013
6/15/2013,National Average,"meat, fish and eggs",Meat (chicken),KG,2.37,6/15/2013
6/15/2013,National Average,"meat, fish and eggs","Meat (chicken, whole)",KG,1.72,6/15/2013
6/15/2013,National Average,"meat, fish and eggs",Meat (lamb),KG,11.81,6/15/2013
6/15/2013,National Average,milk and dairy,"Cheese (white, boiled)",KG,4.71,6/15/2013
6/15/2013,National Average,milk and dairy,Milk (pasteurized),L,1.18,6/15/2013
6/15/2013,National Average,miscellaneous food,Sugar,KG,0.78,6/15/2013
